0,0,0,0,0
0.005,5.00849e-05,1.56113e-09,1.56227e-09,0
0.01,0.000100168,3.15637e-09,3.15866e-09,0
0.015,0.000150248,4.75162e-09,4.75523e-09,0
0.02,0.000200322,6.45017e-09,6.4551e-09,0
0.025,0.000250388,8.14872e-09,8.15537e-09,0
0.03,0.000300446,1.00226e-08,1.0031e-08,0
0.035,0.000350492,1.18966e-08,1.19073e-08,0
0.04,0.000400526,1.40227e-08,1.40359e-08,0
0.045,0.000450543,1.61489e-08,1.61654e-08,0
0.05,0.000500544,1.8611e-08,1.86309e-08,0
0.055,0.000550523,2.10732e-08,2.10979e-08,0
0.06,0.000600481,2.39637e-08,2.39934e-08,0
0.065,0.000650413,2.68543e-08,2.6891e-08,0
0.07,0.000700318,3.02768e-08,3.03206e-08,0
0.075,0.000750191,3.36992e-08,3.37533e-08,0
0.08,0.000800032,3.77701e-08,3.78345e-08,0
0.085,0.000849833,4.18411e-08,4.19202e-08,0
0.09,0.000899596,4.66923e-08,4.67862e-08,0
0.095,0.000949311,5.15435e-08,5.16588e-08,0
0.1,0.000998981,5.73245e-08,5.74612e-08,0
0.105,0.00104859,6.31055e-08,6.32728e-08,0
0.11,0.00109815,6.99859e-08,7.01839e-08,0
0.115,0.00114765,7.68663e-08,7.7108e-08,0
0.12,0.00119708,8.5038e-08,8.53237e-08,0
0.125,0.00124643,9.32097e-08,9.35577e-08,0
0.13,0.00129571,1.0289e-07,1.033e-07,0
0.135,0.0013449,1.1257e-07,1.13068e-07,0
0.14,0.001394,1.24002e-07,1.2459e-07,0
0.145,0.001443,1.35435e-07,1.36147e-07,0
0.15,0.0014919,1.48895e-07,1.49732e-07,0
0.155,0.00154068,1.62354e-07,1.63367e-07,0
0.16,0.00158934,1.78148e-07,1.79336e-07,0
0.165,0.00163787,1.93941e-07,1.95375e-07,0
0.17,0.00168627,2.1241e-07,2.1409e-07,0
0.175,0.00173451,2.30878e-07,2.32901e-07,0
0.18,0.0017826,2.524e-07,2.54767e-07,0
0.185,0.00183051,2.73922e-07,2.76765e-07,0
0.19,0.00187825,2.98915e-07,3.02235e-07,0
0.195,0.00192579,3.23908e-07,3.27886e-07,0
0.2,0.00197313,3.52831e-07,3.57469e-07,0
0.205,0.00202025,3.81753e-07,3.87298e-07,0
0.21,0.00206715,4.15106e-07,4.2156e-07,0
0.215,0.0021138,4.48458e-07,4.56157e-07,0
0.22,0.0021602,4.86785e-07,4.95732e-07,0
0.225,0.00220632,5.25111e-07,5.35759e-07,0
0.23,0.00225215,5.69001e-07,5.81353e-07,0
0.235,0.00229768,6.1289e-07,6.27556e-07,0
0.24,0.0023429,6.62974e-07,6.79961e-07,0
0.245,0.00238776,7.13059e-07,7.33181e-07,0
0.25,0.00243229,7.70015e-07,7.93283e-07,0
0.255,0.00247643,8.26972e-07,8.54472e-07,0
0.26,0.00252019,8.91521e-07,9.23266e-07,0
0.265,0.00256353,9.56069e-07,9.93504e-07,0
0.27,0.00260644,1.02897e-06,1.07211e-06,0
0.275,0.0026489,1.10187e-06,1.15263e-06,0
0.28,0.0026909,1.18393e-06,1.24233e-06,0
0.285,0.00273239,1.26599e-06,1.33454e-06,0
0.29,0.00277338,1.35803e-06,1.43677e-06,0
0.295,0.00281382,1.45008e-06,1.5423e-06,0
0.3,0.00285371,1.55298e-06,1.65873e-06,0
0.305,0.00289302,1.65588e-06,1.77947e-06,0
0.31,0.00293172,1.77054e-06,1.91202e-06,0
0.315,0.00296979,1.8852e-06,2.05017e-06,0
0.32,0.00300722,2.01252e-06,2.20105e-06,0
0.325,0.00304396,2.13985e-06,2.3592e-06,0
0.33,0.00308002,2.28077e-06,2.53102e-06,0
0.335,0.00311533,2.42169e-06,2.71221e-06,0
0.34,0.00314992,2.57716e-06,2.90805e-06,0
0.345,0.00318371,2.73262e-06,3.1159e-06,0
0.35,0.00321673,2.90355e-06,3.33936e-06,0
0.355,0.00324891,3.07449e-06,3.5782e-06,0
0.36,0.00328026,3.26183e-06,3.8336e-06,0
0.365,0.00331072,3.44917e-06,4.10857e-06,0
0.37,0.00334031,3.65381e-06,4.40106e-06,0
0.375,0.00336897,3.85846e-06,4.71835e-06,0
0.38,0.0033967,4.08128e-06,5.05409e-06,0
0.385,0.00342346,4.30412e-06,5.42112e-06,0
0.39,0.00344925,4.54597e-06,5.80752e-06,0
0.395,0.00347402,4.78782e-06,6.23323e-06,0
0.4,0.00349777,5.04947e-06,6.67918e-06,0
0.405,0.00352047,5.31113e-06,7.17431e-06,0
0.41,0.0035421,5.5933e-06,7.6905e-06,0
0.415,0.00356264,5.87549e-06,8.26797e-06,0
0.42,0.00358209,6.17882e-06,8.86725e-06,0
0.425,0.0036004,6.48217e-06,9.54254e-06,0
0.43,0.00361758,6.80721e-06,1.02404e-05,0
0.435,0.00363359,7.13228e-06,1.1032e-05,0
0.44,0.00364844,7.47948e-06,1.18469e-05,0
0.445,0.0036621,7.82671e-06,1.27771e-05,0
0.45,0.00367456,8.1964e-06,1.37311e-05,0
0.455,0.00368581,8.56613e-06,1.48263e-05,0
0.46,0.00369584,8.95852e-06,1.59457e-05,0
0.465,0.00370463,9.35096e-06,1.72373e-05,0
0.47,0.00371219,9.7661e-06,1.85535e-05,0
0.475,0.0037185,1.01813e-05,2.00786e-05,0
0.48,0.00372355,1.06191e-05,2.16286e-05,0
0.485,0.00372734,1.1057e-05,2.34311e-05,0
0.49,0.00372988,1.15172e-05,2.52586e-05,0
0.495,0.00373114,1.19775e-05,2.73898e-05,0
